小时	专辑	播放用户数	单集	播放用户数	电台	播放用户数	资讯	播放用户数	栏目	播放用户数
0	2970	156576	44911	195692	808	117545	1655	71821	154	1558
1	2634	105976	38534	134226	690	61208	1782	39904	141	1117
2	2436	72169	34689	95284	543	34122	2128	31925	125	882
3	2350	57439	32448	78495	468	25614	1926	29711	106	831
4	2282	51818	32803	73478	462	24569	2420	31886	124	900
5	2432	60131	34980	83569	584	41327	2244	42307	143	1150
6	2954	130341	42107	160775	733	129240	2136	96302	171	1856
7	3410	265158	49744	310573	880	244997	2011	146156	196	2537
8	3330	330456	43678	366687	906	252227	1754	146103	200	2363
9	3235	283297	40686	314582	924	226586	1618	112894	175	1664
10	3247	223500	40506	253840	889	188786	1478	96389	184	1326
11	3154	216744	39840	246724	876	183087	1217	102400	175	1235
12	3467	244512	45785	282394	858	204016	1033	129446	165	1507
13	3472	262946	46944	304397	863	201401	1056	137763	193	1816
14	3282	245529	41903	278848	868	183601	1192	127259	180	1509
15	3245	224317	40446	256027	877	181466	1215	125208	178	1272
16	3243	212410	41020	245024	857	173063	1202	120409	176	1334
17	3322	231304	44847	268160	870	193208	1279	146971	185	1512
18	3467	269448	47749	312046	853	231412	1154	163754	193	1711
19	3426	278996	46367	318792	881	229171	1117	154119	209	1894
20	3559	274483	49465	318960	900	204202	1041	151347	206	2044
21	3837	285078	57783	352363	900	206089	1112	165254	184	2286
22	3935	306082	61198	382810	902	215036	1323	171416	197	2708
23	3561	266402	53951	324048	872	192470	1434	147004	176	2367
24	7206	4755838	209158	5795170	1042	3063571	5752	2587692	408	29984
